file_name,iteration,target_type,system_cpu,system_gpu,system_os,system_ram,cpu_cores,cpu_threads,electron,node_version,npm_version,build_commands_used,delete_dist,delete_node_modules,npm_install,npm_install_start_ms,npm_install_end_ms,npm_install_duration_ms,npm_install_duration_s,build_start_ms,build_end_ms,build_duration_ms,build_duration_s,exe_size_bytes,msi_size_bytes
04-dist-build.json,3,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,True,True,1748167407953,1748167419110,11157,11.16,1748167419110,1748167508558,89448,89.45,202056192,100438016
04-dist-build.json,4,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,True,True,1748167511095,1748167524602,13507,13.51,1748167524602,1748167615947,91345,91.34,202056192,100438016
04-dist-build.json,5,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,True,True,1748167619261,1748167631469,12208,12.21,1748167631469,1748167738450,106981,106.98,202056192,100438016
AVERAGES,,,,,,,,,,,,,,,,,,14031.0,14.03,,,104764.4,104.76,202056192.0,100438016.0
,,,,,,,,,,,,,,,,,,,,,,,,,
05-dist-build.json,1,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,False,True,1748167747405,1748167773083,25678,25.68,1748167773083,1748167865254,92171,92.17,202056192,100438016
05-dist-build.json,2,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,False,True,1748167865254,1748167868317,3063,3.06,1748167868317,1748167959956,91639,91.64,202056192,100438016
05-dist-build.json,3,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,False,True,1748167959956,1748167963834,3878,3.88,1748167963834,1748168053602,89768,89.77,202056192,100438016
05-dist-build.json,4,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,False,True,1748168053602,1748168056624,3022,3.02,1748168056624,1748168171144,114520,114.52,202056192,100438016
05-dist-build.json,5,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,False,True,1748168171145,1748168175444,4299,4.3,1748168175444,1748168267180,91736,91.74,202056192,100438016
AVERAGES,,,,,,,,,,,,,,,,,,7988.0,7.99,,,95966.8,95.97,202056192.0,100438016.0
,,,,,,,,,,,,,,,,,,,,,,,,,
06-dist-build.json,1,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm install; npm run build:win,False,False,False,1748168277083,1748168287815,10732,10.73,1748168287815,1748168378478,90663,90.66,202056192,100438016
06-dist-build.json,2,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm run build:win,False,False,False,,,,,1748168378478,1748168469114,90636,90.64,202056192,100438016
06-dist-build.json,3,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm run build:win,False,False,False,,,,,1748168469114,1748168571497,102383,102.38,202056192,100438016
06-dist-build.json,4,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm run build:win,False,False,False,,,,,1748168571499,1748168673495,101996,102.0,202056192,100438016
06-dist-build.json,5,dist,AMD Ryzen 7 5800X3D 8-Core Processor,NVIDIA GeForce RTX 4070,Windows 11 (10.0.22621),32 GB,8,16,36.2.1,v20.9.0,10.1.0,npm run build:win,False,False,False,,,,,1748168673495,1748168777211,103716,103.72,202056192,100438016
AVERAGES,,,,,,,,,,,,,,,,,,10732.0,10.73,,,97878.8,97.88,202056192.0,100438016.0
,,,,,,,,,,,,,,,,,,,,,,,,,
