file_name,iteration,target_type,system_cpu,system_gpu,system_os,system_ram,cpu_cores,cpu_threads,electron,node_version,npm_version,build_commands_used,delete_dist,delete_node_modules,npm_install,npm_install_start_ms,npm_install_end_ms,npm_install_duration_ms,npm_install_duration_s,build_start_ms,build_end_ms,build_duration_ms,build_duration_s,exe_size_bytes,msi_size_bytes
04-dist-build.json,3,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,True,True,1748199748197,1748199760696,12499,12.5,1748199760696,1748199863681,102985,102.98,202056192,100433920
04-dist-build.json,4,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,True,True,1748199867128,1748199879799,12671,12.67,1748199879799,1748199980873,101074,101.07,202056192,100433920
04-dist-build.json,5,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,True,True,1748199983866,1748199997595,13729,13.73,1748199997595,1748200098350,100755,100.75,202056192,100433920
AVERAGES,,,,,,,,,,,,,,,,,,12960.2,12.96,,,101414.2,101.41,202056192.0,100433920.0
,,,,,,,,,,,,,,,,,,,,,,,,,
05-dist-build.json,1,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,False,True,1748200102736,1748200115108,12372,12.37,1748200115108,1748200214581,99473,99.47,202056192,100433920
05-dist-build.json,2,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,False,True,1748200214581,1748200217755,3174,3.17,1748200217755,1748200320766,103011,103.01,202056192,100433920
05-dist-build.json,3,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,False,True,1748200320770,1748200323979,3209,3.21,1748200323979,1748200424102,100123,100.12,202056192,100433920
05-dist-build.json,4,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,False,True,1748200424102,1748200427293,3191,3.19,1748200427293,1748200528059,100766,100.77,202056192,100433920
05-dist-build.json,5,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,False,True,1748200528059,1748200531266,3207,3.21,1748200531266,1748200632428,101162,101.16,202056192,100433920
AVERAGES,,,,,,,,,,,,,,,,,,5030.6,5.03,,,100907.0,100.91,202056192.0,100433920.0
,,,,,,,,,,,,,,,,,,,,,,,,,
06-dist-build.json,1,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm install; npm run build:win,False,False,False,1748200636316,1748200648396,12080,12.08,1748200648396,1748200748984,100588,100.59,202056192,100433920
06-dist-build.json,2,dist,AMD Ryzen 7 7735HS with Radeon Graphics,AMD Radeon(TM) 680M,Windows 11 (10.0.22631),14 GB,8,16,36.2.1,v20.15.0,10.8.1,npm run build:win,False,False,False,,,,,1748200748984,1748200848853,99869,99.87,202056192,100433920
